player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
664770,"Lukes, Nathan",86.1,11.8,1.0,0.276,0.303
683357,"Caissie, Owen",91.7,15.7,13.3,0.203,0.288
672275,"Bailey, Patrick",89.8,12.0,7.1,0.22,0.28
678218,"Valenzuela, Brandon",89.2,16.0,9.2,0.265,0.35
681715,"Hernández, Heriberto",91.8,12.9,9.3,0.268,0.359
680779,"Davis, Henry",90.5,19.8,11.3,0.2,0.292
687231,"Hernaiz, Darell",84.4,14.0,1.0,0.216,0.263
666023,"Fermin, Freddy",86.3,15.0,3.1,0.196,0.266
682668,"Acuña, Luisangel",89.4,2.5,3.1,0.243,0.272
621043,"Correa, Carlos",89.2,7.2,10.3,0.289,0.364
500743,"Rojas, Miguel",87.1,12.5,5.2,0.281,0.32
664034,"France, Ty",91.4,6.8,11.5,0.246,0.318
643396,"Kiner-Falefa, Isiah",82.2,9.4,3.2,0.283,0.315
686780,"Pagés, Pedro",87.1,14.5,6.3,0.233,0.285
676356,"DeLuca, Jonny",85.5,12.6,3.2,0.252,0.277
668904,"Lewis, Royce",88.8,15.6,12.8,0.221,0.307
620443,"Torrens, Luis",88.5,5.6,4.3,0.228,0.279
664702,"Straw, Myles",86.4,15.8,4.3,0.272,0.313
682626,"Alvarez, Francisco",90.2,9.8,16.1,0.237,0.325
682818,"Piñango, Yohendrick",91.2,7.6,7.6,0.282,0.326
672820,"Sosa, Lenyn",88.7,20.0,5.6,0.222,0.249
681481,"Carpenter, Kerry",91.0,22.0,11.2,0.214,0.311
666139,"Lowe, Josh",88.6,18.5,8.0,0.204,0.263
694671,"Langford, Wyatt",89.4,16.4,6.8,0.232,0.282
808975,"Kim, Hyeseong",85.8,9.1,3.4,0.261,0.304
673237,"Diaz, Yainer",87.8,5.9,3.4,0.238,0.257
676694,"Meyers, Jake",85.6,16.5,7.0,0.202,0.26
656484,"Gray, Tristan",89.6,14.6,7.0,0.246,0.299
682663,"Ramírez, Agustín",89.2,6.3,4.7,0.225,0.282
679845,"Loftin, Nick",86.6,14.7,5.9,0.237,0.317
683734,"Vaughn, Andrew",89.3,10.0,3.5,0.295,0.355
668723,"Vilade, Ryan",89.4,16.9,3.5,0.248,0.307
